cluster,segment,if_buys,promote,confidence,lift
0,Loyalists,energy drink,airpods,0.27,1.98
0,Loyalists,bluetooth headphones,airpods,0.24,1.8
0,Loyalists,iphone 10,airpods,0.22,1.61
1,Vegetarians,"cooking oil, tomato sauce",babies food,0.42,1.48
1,Vegetarians,"fresh bread, milk",babies food,0.42,1.48
1,Vegetarians,"napkins, spaghetti",babies food,0.41,1.46
2,Regulars,"airpods, energy drink",bluetooth headphones,0.37,3.72
2,Regulars,"airpods, bluetooth headphones",energy drink,0.37,3.61
2,Regulars,"bluetooth headphones, energy drink",airpods,0.55,3.31
3,Promoters,"salad, tomatoes","asparagus, carrots",0.3,5.82
3,Promoters,"carrots, salad","asparagus, tomatoes",0.3,5.77
3,Promoters,"carrots, tomatoes","asparagus, salad",0.3,5.71
4,Wellness,energy drink,airpods,0.25,2.35
4,Wellness,bluetooth headphones,airpods,0.22,2.14
4,Wellness,pancakes,airpods,0.21,2.03
5,Families,"cereals, chocolate bread","eggs, fresh bread",0.21,1.58
5,Families,"black tea, fresh bread",salt,0.22,1.56
5,Families,"milk, oatmeal","cereals, eggs",0.22,1.5
6,Economizers,"avocado, carrots","asparagus, salad",0.32,5.15
6,Economizers,"asparagus, carrots","avocado, salad",0.2,5.12
6,Economizers,"avocado, salad","asparagus, carrots",0.3,5.12
7,Techies,"airpods, energy drink",bluetooth headphones,0.37,5.51
7,Techies,bluetooth headphones,"airpods, energy drink",0.2,5.51
7,Techies,"bluetooth headphones, energy drink",airpods,0.63,5.09
