customer_id,kmeans_cluster,segment_name,recommended_action
3,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
4,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
5,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
7,1,Healthy Lifestyle Buyers,"Promote fresh produce, hygiene products, wellness bundles, and healthy lifestyle offers."
8,1,Healthy Lifestyle Buyers,"Promote fresh produce, hygiene products, wellness bundles, and healthy lifestyle offers."
9,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
10,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
11,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
12,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
14,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
15,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
16,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
18,1,Healthy Lifestyle Buyers,"Promote fresh produce, hygiene products, wellness bundles, and healthy lifestyle offers."
19,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
20,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
22,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
24,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
26,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
27,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
28,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
29,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
30,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
31,1,Healthy Lifestyle Buyers,"Promote fresh produce, hygiene products, wellness bundles, and healthy lifestyle offers."
33,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
34,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
35,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
36,2,Premium Grocery & Pet Buyers,"Use cross-category bundles involving meat, fish, pet food, and premium grocery items."
38,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
39,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
40,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
41,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
42,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
44,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
46,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
47,0,Promotion-Oriented Regulars,"Use discount campaigns, personalized coupons, and promotion bundles."
48,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
49,2,Premium Grocery & Pet Buyers,"Use cross-category bundles involving meat, fish, pet food, and premium grocery items."
50,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
52,1,Healthy Lifestyle Buyers,"Promote fresh produce, hygiene products, wellness bundles, and healthy lifestyle offers."
53,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
54,1,Healthy Lifestyle Buyers,"Promote fresh produce, hygiene products, wellness bundles, and healthy lifestyle offers."
55,2,Premium Grocery & Pet Buyers,"Use cross-category bundles involving meat, fish, pet food, and premium grocery items."
56,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
57,2,Premium Grocery & Pet Buyers,"Use cross-category bundles involving meat, fish, pet food, and premium grocery items."
59,3,Tech-Focused Customers,"Target with technology offers, new product launches, and digital engagement campaigns."
